,DICE,JACRD,AUC,KAPPA,RNDIND,ADJRIND,ICCORR,VOLSMTY,MUTINF,HDRFDST,AVGDIST,bAVD,MAHLNBS,VARINFO,GCOERR,PROBDST,SNSVTY,SPCFTY,PRCISON,FMEASR,ACURCY,FALLOUT,TP,FP,TN,FN,REFVOL,SEGVOL
42,0.93121624,0.873,0.9677212,0.9274303,0.985937,0.92004246,0.9537612,0.9806147,0.239992,31.745434,1.1057843,1.9038045,0.0108695,0.10135425,0.013683749,0.00050775,0.93938804,0.99605477,0.9245625,0.93121624,0.99290377,0.00394525,837842.25,62421.25,15820324.0,56629.0,894471.75,900263.5
43,0.93898505,0.8868202,0.9783065,0.9355285,0.9871635,0.9287305,0.95955896,0.97683626,0.24743225,20.715385,1.1547337,2.12473,0.01083275,0.093072,0.01244575,0.00045,0.9611563,0.99545693,0.91951394,0.93898505,0.99352574,0.004543,857543.0,71692.0,15811052.0,36929.0,894471.75,929235.25
44,0.8780757,0.7852843,0.93339175,0.870695,0.97299474,0.8573623,0.92236525,0.94634455,0.20353875,43.787746,2.4798665,3.542214,0.0265125,0.1656235,0.025580999,0.00097125,0.87297326,0.9938097,0.88863504,0.8780757,0.9862033,0.00619025,760391.0,97392.75,15785351.0,134080.75,894471.75,857783.5
45,0.921352,0.856199,0.96413875,0.916608,0.98253953,0.9074843,0.9430945,0.97406054,0.23133701,31.39175,1.2228395,2.2312427,0.017476,0.1191835,0.01689575,0.00059125,0.933143,0.9951345,0.9120378,0.921352,0.9911563,0.0048655,822781.5,76683.5,15806061.0,71690.25,894471.75,899465.25
46,0.90634996,0.83253676,0.94985276,0.90022427,0.9774947,0.8889082,0.93810225,0.94880474,0.2162205,27.715092,2.190566,3.1732664,0.01718575,0.13750225,0.021021001,0.000739,0.90407425,0.99563044,0.9166647,0.90634996,0.9885115,0.0043695,770954.0,69223.5,15813520.0,123517.5,894471.75,840177.5
47,0.9068322,0.831569,0.95015156,0.9012865,0.97960925,0.8908068,0.926046,0.97131675,0.22039175,26.535204,1.6564683,2.4454424,0.04379375,0.13524574,0.0196845,0.0007215,0.90519375,0.9951095,0.91063774,0.9068322,0.98965245,0.0048904996,797923.75,77051.5,15805693.0,96547.75,894471.75,874975.25
48,0.73001075,0.5750943,0.93514323,0.7110005,0.9310295,0.6809365,0.835379,0.807948,0.16752374,50.95019,4.021909,11.347744,0.04670575,0.3356865,0.0602545,0.0020365,0.9034428,0.9668437,0.612597,0.73001075,0.96380025,0.03315625,804665.25,517527.5,15365218.0,89806.75,894471.75,1322193.0
49,0.9252905,0.86132896,0.9655392,0.92071277,0.98320323,0.91176504,0.9570747,0.98822594,0.23265976,35.980076,1.0134637,1.5071985,0.01402325,0.118418254,0.016526999,0.00055399997,0.93628824,0.9947905,0.91470623,0.9252905,0.9915025,0.0052095,833194.0,81288.0,15801456.0,61277.25,894471.75,914482.5
50,0.933518,0.8772367,0.97487026,0.9297112,0.98589826,0.92226607,0.95585126,0.97755826,0.24335626,25.679092,1.1013815,2.0277796,0.011975749,0.1011915,0.01370475,0.0004895,0.9546755,0.99506444,0.91435254,0.933518,0.9928817,0.0049355,852692.75,77646.75,15805098.0,41778.75,894471.75,930339.75
51,0.902453,0.8237855,0.9606525,0.8963983,0.9778655,0.885007,0.93984354,0.96263796,0.220982,29.154291,1.7804484,2.7523057,0.0137245,0.144456,0.021405749,0.0007225,0.92801124,0.9932935,0.88048977,0.902453,0.98874426,0.0067065,810975.0,105346.75,15777397.0,83497.0,894471.75,916322.0
